,TCN,ECNN-A,ECNN-B,ECNN-C,CNN,UCL-BLUE-1,UCL-BLUE-2,UCL-BLUE-3
subject 1,26.80%,40.25%,36.17%,41.67%,74.62%,77.94%,77.27%,76.52%
subject 2,21.35%,29.28%,30.13%,29.21%,61.65%,74.36%,74.57%,75.28%
subject 3,22.81%,48.02%,43.02%,40.31%,83.44%,83.85%,84.48%,85.21%
subject 4,22.07%,39.52%,32.81%,40.56%,59.64%,64.00%,66.54%,66.99%
subject 5,25.00%,35.12%,30.06%,37.80%,80.24%,86.19%,86.59%,86.59%
subject 6,21.38%,30.04%,21.73%,29.12%,53.69%,59.87%,60.51%,60.58%
subject 7,31.46%,45.23%,42.58%,48.09%,76.83%,78.34%,79.85%,81.68%
subject 8,32.84%,49.26%,47.03%,46.93%,79.53%,87.50%,88.69%,89.87%
subject 9,33.26%,40.36%,51.91%,43.01%,77.59%,73.92%,76.40%,76.83%
subject 10,31.81%,44.07%,43.27%,37.50%,61.38%,59.46%,58.49%,61.06%
average,26.88%,40.12%,37.87%,39.42%,70.86%,74.54%,75.34%,76.06%
